,Open,High,Low,Close,Volume,datetime
415,303.0,304.23,302.86,303.21,44284921,1572325200000
416,303.43,304.55,301.99,304.14,49643928,1572411600000
417,304.13,304.13,301.73,303.33,69053791,1572498000000
418,304.92,306.19,304.74,306.14,71141515,1572584400000
419,307.85,308.0,306.96,307.37,60606916,1572847200000
420,307.59,307.9195,306.71,307.03,42933219,1572933600000
421,307.03,307.4,306.06,307.1,46487108,1573020000000
422,308.57,309.65,307.66,308.18,54272274,1573106400000
423,307.8,309.0036,307.03,308.94,49068797,1573192800000
424,307.42,308.54,307.27,308.35,35934909,1573452000000
425,308.75,309.99,308.15,309.0,46484624,1573538400000
426,307.91,309.54,307.66,309.1,54459018,1573624800000
427,308.79,309.64,308.09,309.55,52001874,1573711200000
428,311.02,311.84,310.26,311.79,62706192,1573797600000
429,311.53,312.28,311.03,312.02,49327980,1574056800000
430,312.68,312.69,311.22,311.93,67927818,1574143200000
431,311.28,311.85,309.06,310.77,79696276,1574229600000
432,310.89,311.01,309.39,310.27,54664690,1574316000000
433,311.09,311.24,309.85,310.96,44850228,1574402400000
434,311.98,313.37,311.98,313.37,48762676,1574661600000
435,313.41,314.28,313.06,314.08,37727953,1574748000000
436,314.61,315.48,314.37,315.48,44793179,1574834400000
437,314.86,315.13,314.06,314.31,36592740,1575007200000
438,314.59,314.66,311.17,311.64,76110027,1575266400000
439,308.65,309.64,307.13,309.55,75172709,1575352800000
440,310.7,312.12,310.32,311.46,49190402,1575439200000
441,312.23,312.25,310.58,312.02,40781669,1575525600000
442,314.12,315.31,314.11,314.87,48956767,1575612000000
443,314.44,315.18,313.8,313.88,34904315,1575871200000
444,313.82,314.55,312.81,313.53,53107133,1575957600000
445,314.03,314.7,313.4393,314.42,53521450,1576044000000
446,314.43,317.99,314.17,317.13,96585802,1576130400000
447,316.87,318.67,316.02,317.32,81546487,1576216800000
448,319.22,320.15,317.2542,319.5,82836128,1576476000000
449,319.92,320.25,319.48,319.57,61131769,1576562400000
450,320.0,320.25,319.53,319.59,48199955,1576648800000
451,319.8,320.98,319.5246,320.9,85388424,1576735200000
452,320.46,321.9742,319.3873,320.73,149338220,1576821600000
453,321.59,321.65,321.06,321.22,53015641,1577080800000
454,321.47,321.52,320.9,321.23,20270007,1577167200000
455,321.65,322.95,321.64,322.94,31024188,1577340000000
456,323.74,323.8,322.28,322.86,42554820,1577426400000
457,322.95,323.1,320.55,321.08,49782730,1577685600000
458,320.53,322.13,320.15,321.86,57106998,1577772000000
459,323.54,324.89,322.53,324.87,59253833,1577944800000
